Index,Name,Address,City,State,Zip,Phone_Number,Local or Chain 
22,SOUTHERN STYLE COOKIN',3314 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 243-1500,Local
23,SWEET FROG PREMIUM FROZEN YOGU,560 W IRELAND RD,SOUTH BEND,IN,46614,(574) 855-1120,Local
24,WORLDS FAMOUS FRANKIE'S B-B-Q,1132 SOUTH BEND AVE,SOUTH BEND,IN,46617,(574) 303-6878,Local
25,VEGETABLE BUDDIES INC.,129 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 232-0954,Local
26,TEQUILAS RESTAURANT & BAR,2644 W WESTERN AVE,SOUTH BEND,IN,46619-3126,(574) 234-9810,Local
27,NEW YORK BOYS PIZZA,910 E IRELAND RD,SOUTH BEND,IN,46614,(574) 217-7528,Local
28,BURRITO CHULO,1740 SOUTH BEND AVE,SOUTH BEND,IN,46637,(269) 436-8136,Local
29,"SUBWAY OF SOUTH BEND III, INC",1110 E IRELAND RD,SOUTH BEND,IN,46614,(574) 291-0354,Chain
30,T & T ICE CREAM,1631 LINDEN AVE,SOUTH BEND,IN,46628,(574) 315-4041,Local
31,BRYAN'S PIANO BARR,2410 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 251-0542,Local
32,STUDEBAGEL'S,1801 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 277-4440,Local
33,CRAIG'S SERVICE CENTER,5307 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 288-9110,Local
34,COLFAX CAFE AND RESTAURANT,808 E COLFAX AVE,SOUTH BEND,IN,46617,(574) 234-9760,Local
35,ANTONIO'S,2227 FRANKLIN ST,SOUTH BEND,IN,46613,(574) 233-6114,Local
36,BUFFALO WILD WINGS / BW-3-DONT,123 W WASHINGTON ST,SOUTH BEND,IN,46601,(574) 232-2293,Chain
37,SHOWPLACE 16 - 8881,450 W CHIPPEWA AVE,SOUTH BEND,IN,46614,(574) 299-6060,Local
38,TAQUERIA LOS GARCIAS-DO NOT US,1140 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 217-7663,Local
39,OH MAMMA'S ITALIAN DELI,1105 NORTHSIDE BLVD,SOUTH BEND,IN,46615,(574) 276-6918,Local
40,SAINT MARGARET'S HOUSE,117 N LAFAYETTE BLVD,SOUTH BEND,IN,46601,(574) 234-7795,Local
41,THE STATE CAFE & CATERING,117 E WAYNE ST,SOUTH BEND,IN,46601,(574) 234-0030,Local
42,TACO BELL #3004058,5131 W WESTERN AVE,SOUTH BEND,IN,46619,(503) 722-2825,Chain
43,TACO BELL #3004039,6225 W BRICK RD,SOUTH BEND,IN,46628,(503) 722-2825,Chain
44,HOOSIER WINGS & MORE,1835 LINCOLN WAY E,SOUTH BEND,IN,46613,(574) 232-0457,Local
45,BLAZE MIDWEST INC.,1234 N EDDY ST,SOUTH BEND,IN,46617,(989) 422-3534,Local
46,KICK BACK BAR & GRILL,643 LA PORTE AVE,SOUTH BEND,IN,46628,(574) 703-7170,Local
47,FLAMINGO INC.,425 S MAIN ST,SOUTH BEND,IN,46601,(574) 234-1546,Local
48,KOSHER FOOD SERVICE,3207 HIGH ST,SOUTH BEND,IN,46614,(574) 231-5168,Local
49,STARBUCKS,123 N SAINT JOSEPH ST,SOUTH BEND,IN,46601,(574) 245-7274,Chain
50,CAMBODIAN THAI RESTAURANT,235 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 289-2877,Local
51,SWEET STREET CORNER COFFEE,1105 NORTHSIDE BLVD,SOUTH BEND,IN,46615,(574) 287-8724,Local
52,THE DUNHAM INN,1502 DUNHAM ST,SOUTH BEND,IN,46619,(000) 000-0000,Local
53,CICI'S PIZZA,1290 E IRELAND RD,SOUTH BEND,IN,46614,(574) 231-1200,Chain
54,YMCA OF MICHIANA INC,3300 W SAMPLE ST,SOUTH BEND,IN,NA,(574) 287-9622,Chain
55,LINCOLNWAY GRILL,1003 LINCOLN WAY W,SOUTH BEND,IN,46616-1147,(574) 233-7814,Local
56,"SUBWAY OF SOUTH BEND VIII, INC",1706 SOUTH BEND AVE,SOUTH BEND,IN,46635,(574) 243-7738,Chain
57,THE WING NUT,1835 LINCOLN WAY E,SOUTH BEND,IN,46613,(574) 232-0457,Local
58,JAMISON INN,1404 IVY CT,SOUTH BEND,IN,46637,(574) 277-6500,Local
59,RIPPLES BAR & GRILL,2035 S MICHIGAN ST,SOUTH BEND,IN,46613-2326,(574) 233-3521,Local
60,SAMUEL MANCINOS - DO NOT USE,3302 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 271-3650,Local
61,SANTA CRUZ CATERING/RESTAURANT,618 PULASKI ST,SOUTH BEND,IN,46619,(574) 289-7650,Local
62,V.F.W. POST 1167,1047 LINCOLN WAY E,SOUTH BEND,IN,46601,(574) 287-8144,Local
63,CHICORY CAFE,105 E JEFFERSON BLVD,SOUTH BEND,IN,46601,(574) 234-1141,Local
64,MARK'S RESTAURANT,112 W COLFAX AVE,SOUTH BEND,IN,46601,(574) 234-1604,Local
65,R.A. MINI MART,2324 ELWOOD AVE,SOUTH BEND,IN,46628,(574) 287-7317,Local
66,RATHSKELLER,401 N HICKORY RD,SOUTH BEND,IN,46615,(574) 233-0300,Chain
67,BIGGBY COFFEE,1130 E ANGELA BLVD,SOUTH BEND,IN,46613,(269) 326-0346,Local
68,CARMELA'S AT MACRI'S,214 N NILES AVE,SOUTH BEND,IN,46617,(574) 280-4824,Local
69,BAKERS BAR & GRILLE,123 N SAINT JOSEPH ST,SOUTH BEND,IN,46601,(574) 245-7274,Local
70,DON JUAN CANTINA & GRILL,3421 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 339-3922,Local
71,"BELLIC RIVER GROUP LLC, DBA BE",1105 NORTHSIDE BLVD,SOUTH BEND,IN,46615,(574) 312-5170,Local
72,ONE STOP #3,1807 LINCOLN WAY E,SOUTH BEND,IN,46613-3422,(574) 288-8850,Local
73,MATTSON'S CUSTOM CATERING & EV,2720 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 635-1039,Local
74,SUBWAY OF SOUTH BEND X,700 W IRELAND RD,SOUTH BEND,IN,46614,(574) 231-9209,Chain
75,EXPRESS CUPCAKES,1150 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 276-0865,Local
76,HUICHI RINCON HUESTECO,2702 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 855-1903,Local
77,"LA ESPERANZA / CASA ROMA, INC.",1636 N IRONWOOD DR,SOUTH BEND,IN,46637,(574) 273-0345,Local
78,THE CULINARY CONNECTION,201 CHAPIN ST,SOUTH BEND,IN,46601,(574) 259-2433,Local
79,CIRA'S RESTAURANT,2007 MIAMI ST,SOUTH BEND,IN,46614,(574) 288-1077,Local
80,HOT BOX PIZZA OF SOUTH BEND,1234 N EDDY ST,SOUTH BEND,IN,46617,(574) 246-9445,Chain
81,FIVE GUYS BURGERS & FRIES,1233 N EDDY ST,SOUTH BEND,IN,46617,(574) 234-1800,Chain
82,HAMMES BOOKSTORE & CAFE,1234 N EDDY ST,SOUTH BEND,IN,46617,(574) 287-6954,Local
83,"S.B.MARRIOTT ""WE PROUDLY BREW""",123 N SAINT JOSEPH ST,SOUTH BEND,IN,46601,(574) 234-2000,Local
84,JALISCO SUPERMARKET,454 S CARLISLE ST,SOUTH BEND,IN,46619,(574) 289-0108,Local
85,VELDMAN'S SERVICE CENTER,5316 W WESTERN AVE,SOUTH BEND,IN,46614,(574) 287-7236,Local
86,ONE STOP #2,3425 LINCOLN WAY W,SOUTH BEND,IN,46628-1454,(574) 233-8403,Local
87,EMPORIUM RESTAURANT-OLD,121 S NILES AVE,SOUTH BEND,IN,46601,(574) 234-9000,Local
88,EL ARRIERO,4505 AMERITECH DR,SOUTH BEND,IN,NA,(574) 243-1177,Local
89,SEAN O'CASEY'S,123 N SAINT JOSEPH ST,SOUTH BEND,IN,46601,(574) 234-2000,Local
90,PUERTO VALLARTA EXPRESS,415 N HICKORY RD,SOUTH BEND,IN,46615,(574) 876-1352,Local
91,SUBWAY #035,6424 W BRICK RD,SOUTH BEND,IN,46628,(574) 272-1203,Chain
92,EL ARRIERO BAR & GRILL,4505 AMERITECH DR,SOUTH BEND,IN,46628,(574) 243-1177,Local
93,"SUBWAY OF SOUTH BEND II, INC",3301 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 243-2667,Chain
94,NOMA RESTAURANT,119 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 274-7450,Local
95,EAST TOKYO HIBACHI,1290 E IRELAND RD,SOUTH BEND,IN,46614,(917) 224-0390,Local
96,MEIJER STORE #120,3600 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 273-3468,Chain
97,EAST RACE CONCESSION TRAILER,121 S NILES AVE,SOUTH BEND,IN,46601,(574) 235-2621,Local
98,GOLDEN DRAGON CHINESE REST.,3227 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 232-3388,Local
99,BROTHERS BAR & GRILL,1234 N EDDY ST,SOUTH BEND,IN,46617,(574) 287-2767,Chain
100,THE OTHER PLACE,450 S CARLISLE ST,SOUTH BEND,IN,46619,(574) 234-7381,Local
101,KETTLE & KEITH INC / DBA DIXIE,808 E COLFAX AVE,SOUTH BEND,IN,46617,(574) 703-7309,Local
102,QUINCY'S CAFE,1725 N IRONWOOD DR,SOUTH BEND,IN,46637,(574) 273-0159,Local
103,QUICK STOP FOOD & SHOP,3601 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 233-0099,Local
104,GOLD'S KOSHER MARKET AND DELI,908 E IRELAND RD,SOUTH BEND,IN,46614,(574) 231-8474,Local
105,OLIVE FOOD MART INC.,421 N OLIVE ST,SOUTH BEND,IN,46628,(574) 234-3664,Local
106,LINDEN GRILL,110 N MAIN ST,SOUTH BEND,IN,46601,(574) 246-0250,Local
107,PEOPLE OF PRAISE CHURCH,107 S GREENLAWN AVE,SOUTH BEND,IN,46601,(574) 234-5088,Local
108,EXPRESS MART,1702 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 234-2299,Local
109,FISH FOR THE SOUL,1525 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 234-7363,Local
110,DEER RUN CHURCH OF CHRIST,2730 S IRONWOOD DR,SOUTH BEND,IN,46614,(574) 289-3338,Local
111,THE DOWNTOWN SOUP KITCHEN,333 N MAIN ST,SOUTH BEND,IN,46601,(574) 233-9747,Local
112,PARAMOUNT RESTAURANT,701 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 234-7372,Local
113,U CAN PAINT 2 INC,2045 SOUTH BEND AVE,SOUTH BEND,IN,46637-5642,(574) 387-3839,Local
114,OUR LADY OF THE ROAD,744 S MAIN ST,NA,NA,46618,(574) 520-7745,Local
115,BREAD 4 LIFE BAKERY,1406 E EWING AVE,SOUTH BEND,IN,46614,(574) 968-7001,Local
116,STUDEBAKER PRIMARY SCHOOL,724 E DUBAIL AVE,SOUTH BEND,IN,46613,(574) 283-7607,Local
117,CAPTAIN SEAFOOD,1107 LINCOLN WAY W,SOUTH BEND,IN,46616,(574) 232-4915,Local
118,SOUTH BANK LOUNGE,1763 LINCOLN WAY E,SOUTH BEND,IN,46613-3420,(574) 232-1980,Local
119,1ST STOP CONCESSIONS,3021 PRAST BLVD,SOUTH BEND,IN,46628,(574) 251-1026,Local
120,DUNKIN DONUTS,4336 S MICHIGAN ST,SOUTH BEND,IN,46614,(269) 903-8337,Chain
121,RUM RUNNERS,236 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 288-5977,Local
122,SUBWAY,323 N EDDY ST,SOUTH BEND,IN,46617,(574) 289-2000,Chain
123,SINAI SYNAGOGUE,1102 E LASALLE AVE,SOUTH BEND,IN,46617,(574) 234-0584,Local
124,TOMMY D'S BARBECUE & SEAFOOD,676 LAWNDALE AVE,SOUTH BEND,IN,46628,(574) 288-5799,Local
125,"KJ'S MAIN CAFE, LLC",321 S MAIN ST,SOUTH BEND,IN,46601,(574) 323-7824,Local
126,RHYTHM,1634 LINCOLN WAY W,SOUTH BEND,IN,46628-2616,(574) 232-6360,Local
127,"SAY ""CHEESECAKE"" BAKERY",213 N MAIN ST,SOUTH BEND,IN,46601,(574) 233-2233,Local
128,MAIN STREET PUB,2046 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 271-9898,Local
129,LITTLE CAESAR,4640 S MICHIGAN ST,SOUTH BEND,IN,46614,(847) 286-1140,Chain
130,FERNANDO'S FAMILY RESTAURANT,1007 N BENDIX DR,SOUTH BEND,IN,46628,(574) 232-2008,Local
131,F.O.P. LODGE 36,1530 S MAIN ST,SOUTH BEND,IN,46613,(574) 233-3101,Local
132,ROSIE'S KAZBAR,2644 W WESTERN AVE,SOUTH BEND,IN,46619-3126,(574) 288-3725,Local
133,UNITY CHURCH OF PEACE,905 E COLFAX AVE,SOUTH BEND,IN,46617,(574) 233-8004,Local
134,LIZ'S BARBEQUE AND THINGS,917 LINCOLN WAY W,SOUTH BEND,IN,46616-1126,(574) 246-0134,Local
135,THE GERMAN CLUB (D.F.V.),1541 PRAIRIE AVE,SOUTH BEND,IN,46613,(574) 232-2101,Local
136,CIAO'S RESTAURANT,501 N NILES AVE,SOUTH BEND,IN,46617,(574) 289-2426,Local
137,QUEEN ANNE INN,420 W WASHINGTON ST,SOUTH BEND,IN,46637,(574) 234-5959,Local
138,KFC #181,2019 1/2 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 027-3846,Chain
139,TANNER AND TANNER,1631 LINDEN AVE,SOUTH BEND,IN,46628,(574) 234-6050,Local
140,AJ'S BURGER SHACK & PUB,4505 AMERITECH DR,SOUTH BEND,IN,46628,(574) 272-1800,Local
141,BON BON'S,1615 MIAMI ST,SOUTH BEND,IN,46613,(574) 232-4492,Local
142,BUFFALO WILD WINGS OF SOUTH BE,326 W IRELAND RD,SOUTH BEND,IN,46614,(574) 232-2293,Chain
143,DAGWOOD'S SANDWICH SHOPPE,420 N NILES AVE,SOUTH BEND,IN,46617,(574) 287-3700,Local
144,CHIPPEWA BOWLING RESTAURANT,225 W CHIPPEWA AVE,SOUTH BEND,IN,46614,(574) 291-5093,Local
145,LINDEN GRILL & GROCERY,1418 LINDEN AVE,SOUTH BEND,IN,46628,(574) 246-1577,Local
146,WENDY'S #2919,3401 LINCOLN WAY W,SOUTH BEND,IN,46628,(574) 287-6644,Chain
147,NORTHERN INDIANA CENTER FOR HI,808 W WASHINGTON ST,SOUTH BEND,IN,46617,(574) 235-9664,Local
148,JOE'S TAVERN,1201 DUNHAM ST,SOUTH BEND,IN,46619,(574) 237-9182,Local
149,NEVERIA TRES MANGOS DE MICHOCC,2518 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 217-8967,Local
150,CHICK-FIL-A,4555 S MICHIGAN ST,SOUTH BEND,IN,46614,(574) 968-0351,Chain
151,SAINT JOSEPH YOUNG MEN'S SOCIE,408 S GRANT ST,SOUTH BEND,IN,46619,(574) 288-3121,Local
152,MULLIGANS BAR & GRILL,1705 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 277-5666,Local
153,THE BLARNEY STONE,113 E WAYNE ST,SOUTH BEND,IN,46601,(574) 283-0452,Local
154,JOYS FISH AND CHICKEN,3307 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 703-7600,Chain
155,GIRASOL CARRY OUT,525 N EDDY ST,SOUTH BEND,IN,46617,(574) 251-0073,Local
156,KILWIN'S CHOCOLATES & ICE CREA,1044 E ANGELA BLVD,SOUTH BEND,IN,46617,(574) 234-1212,Local
157,THE BRICK LLC,1145 NORTHSIDE BLVD,SOUTH BEND,IN,46615,(574) 485-1513,Local
158,AIR HOST SNACK BAR CONCOURSE A,4667 PROGRESS DR,SOUTH BEND,IN,46628,(574) 289-8786,Local
159,CULVER'S OF SOUTH BEND,4402 S MICHIGAN ST,SOUTH BEND,IN,46614,(574) 299-9130,Chain
160,SAINT AUGUSTINE SOUP KITCHEN,1501 W WASHINGTON ST,SOUTH BEND,IN,46628,(574) 234-6334,Local
161,KROC COMMUNITY CENTER,900 W WESTERN AVE,SOUTH BEND,IN,46601,(574) 233-9471,Local
162,"AMERICAN MULTI-CINEMA, INC.",450 W CHIPPEWA AVE,SOUTH BEND,IN,46614,(574) 299-6060,Local
163,"FOUR HORSEMEN BREWING COMPANY,",710 FELLOWS ST,SOUTH BEND,IN,46624,(574) 387-5772,Local
164,MAIN STREET COFFEE HOUSE INC,102 N MAIN ST,SOUTH BEND,IN,46601,(574) 232-5333,Local
165,MACRI'S ITALIAN KITCHEN,315 W IRELAND RD,SOUTH BEND,IN,46614,(574) 231-0200,Local
166,THE INDIA GARDEN,123 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 233-3300,Local
167,THE SKILLET RESTAURANT,2212 MCKINLEY AVE,SOUTH BEND,IN,46615,(574) 234-6069,Local
168,CONGO CAFE,500 S GREENLAWN AVE,SOUTH BEND,IN,46615,(574) 235-5614,Local
169,CANTEEN SERVICES / SBT,225 W COLFAX AVE,SOUTH BEND,IN,46601,(800) 234-7650,Local
170,MILO'S PIZZERIA,910 E IRELAND RD,SOUTH BEND,IN,46614,(574) 299-9380,Local
171,HOT DOGGIN,111 S MICHIGAN ST HOT,SOUTH BEND,IN,46601,(574) 220-2411,Local
172,RESIDENCE INN,716 N NILES AVE,SOUTH BEND,IN,46617,(574) 289-5555,Local
173,FRANKIE'S BBQ,1132 SOUTH BEND AVE,SOUTH BEND,IN,46617,(574) 232-4038,Local
174,FIRST CHRISTIAN CHURCH,1101 E JEFFERSON BLVD,SOUTH BEND,IN,46617,(574) 289-2417,Local
175,TACO BELL-DON'T USE,6225 W BRICK RD,SOUTH BEND,IN,46628,(574) 247-1700,Chain
176,CLUB 23,744 N NOTRE DAME AVE,SOUTH BEND,IN,46615,(574) 234-4015,Local
177,LITTLE JIMMY'S ICE CREAM,217 E 6TH ST,MISHAWAKA,IN,46544,(574) 532-5867,Local
178,SEAHORSE II CABARET,1902 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 237-9139,Local
179,STUDE'S LOUNGE,2206 2208 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 289-4888,Local
180,CHUCK'S TAVERN,1201 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 289-9457,Local
181,CHARLIE'S,2334 PRAIRIE AVE,SOUTH BEND,IN,46614,(574) 289-0448,Local
182,SAMUEL MANCINOS  - DONT USE,910 ERSKINE PLZ,SOUTH BEND,IN,46614,(574) 231-1160,Local
183,CHICAGO ICE CREAM & MORE,2517 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 234-0166,Local
184,VICKIE'S,112 W MONROE ST,SOUTH BEND,IN,46601,(574) 232-4090,Local
185,TRIO'S RESTAURANT & JAZZ CLUB,129 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 288-8746,Local
186,CIAO'S ITALIAN BAKERY,123 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 289-2426,Local
187,JERSEY MIKE'S SUBS,111 S SAINT JOSEPH ST,SOUTH BEND,IN,46601,(574) 246-0136,Chain
188,"SUMMER SONG, INC",56565 PINE RD,SOUTH BEND,IN,46619,(574) 233-0010,Local
189,DOUBLE T'S BBQ,415 N HICKORY RD,SOUTH BEND,IN,46615,(574) 251-9500,Local
190,FIRST UNITARIAN CHURCH,101 E NORTH SHORE DR,SOUTH BEND,IN,46617-1213,(574) 234-6588,Local
191,TEMPLE BETH-EL,305 W MADISON ST,SOUTH BEND,IN,46601,(574) 234-4402,Local
192,CREST MANOR CHURCH OF BRETHREN,1342 BERKSHIRE DR,SOUTH BEND,IN,46614,(574) 291-3748,Local
193,"SONIC RESTAURANTS, INC",3906 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 273-9340,Local
194,SMG F&B LLC (SAVOR) CENTER CAF,120 S SAINT JOSEPH ST,SOUTH BEND,IN,46601,(864) 598-8604,Local
195,LINEBACKER LOUNGE,1631 SOUTH BEND AVE,SOUTH BEND,IN,46617,(574) 289-0186,Local
196,TACO BELL #2160 - DON'T USE,3208 LINCOLN WAY W,SOUTH BEND,IN,46628-1451,(574) 234-2349,Chain
197,SUNSHINE ICE CREAM,605 LINCOLN WAY W,OSCEOLA,IN,46561,(574) 323-5818,Local
198,ICE BOX,1421 S WALNUT ST,SOUTH BEND,IN,46619,(574) 288-3300,Local
199,HARRISON PRIMARY SCHOOL,3302 W WESTERN AVE,SOUTH BEND,IN,46624,(574) 283-7308,Local
200,BACKSTAGE GRILL,222 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 232-0222,Local
201,CINCO 5,112 W COLFAX AVE,SOUTH BEND,IN,46601,(574) 520-9613,Local
202,KING GYROS EXPRESS,2717 S MICHIGAN ST,SOUTH BEND,IN,46614,(574) 231-8983,Chain
203,CIAO'S,707 CEDAR ST,SOUTH BEND,IN,46617,(574) 289-2426,Local
204,TACO BELL-DON'T USE,5131 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 472-0135,Chain
205,ENGLISH ROSE INN - DO NOT USE,116 S TAYLOR ST,SOUTH BEND,IN,46601,(574) 289-2114,Local
206,7-ELEVEN #30171,4106 LINCOLN WAY W,SOUTH BEND,IN,46628,(574) 233-1621,Chain
207,ZEN CAFE,1105 NORTHSIDE BLVD,SOUTH BEND,IN,46615,(574) 272-6079,Local
208,OSCAR'S BILLIARD CLUB,1902 SOUTH BEND AVE,SOUTH BEND,IN,46617,(574) 277-6651,Local
209,HIBACHI GRILL BUFFET,4502 S MICHIGAN ST,SOUTH BEND,IN,46614,(574) 291-8888,Chain
210,MISTI'S DOWN UNDER,205 W JEFFERSON BLVD,SOUTH BEND,IN,46601,(574) 234-4752,Local
211,QUALITY INN & SUITES,4124 LINCOLN WAY W,SOUTH BEND,IN,46628,(574) 288-3800,Chain
212,HIGHER GROUNDS,109 W WASHINGTON ST,SOUTH BEND,IN,46601,(574) 282-2522,Local
213,LITTLE LINDA'S CAFE,3307 W SAMPLE ST,SOUTH BEND,IN,46619,(000) 000-0000,Local
214,TARGET STORE T-1902,1400 E IRELAND RD,SOUTH BEND,IN,46614,(574) 299-1402,Local
215,HENSELL'S OAKEN BUCKET,1212 S IRONWOOD DR,SOUTH BEND,IN,46615,(574) 289-1616,Local
216,MC DONALD'S 574,2001 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 400-0775,Chain
217,LOGAN'S ROADHOUSE,1320 E IRELAND RD,SOUTH BEND,IN,46614,(574) 231-9644,Chain
218,ELVA'S FIESTA CLUB,1024 W INDIANA AVE,SOUTH BEND,IN,46613,(574) 287-9203,Local
219,TEXAS ROADHOUSE,4635 S MICHIGAN ST,SOUTH BEND,IN,46614,(574) 291-7427,Chain
220,THE CELLAR DOOR,213 W WASHINGTON ST,SOUTH BEND,IN,46601,(574) 323-2120,Local
221,OH MAMMA'S ON THE AVENUE,1212 BEYER AVE,SOUTH BEND,IN,46615-1110,(574) 276-6918,Local
222,NAVARRE INTERMEDIATE SCHOOL,4702 FORD ST,SOUTH BEND,IN,46619,(574) 283-7355,Local
223,HACIENDA MEXICAN RESTAURANT,3903 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 273-3843,Local
224,JUAN CAMANEY,618 PULASKI ST,SOUTH BEND,IN,46619,(574) 303-0446,Local
225,COMFORT SUITES,6225 US 31 S,SOUTH BEND,IN,46637,(574) 291-3100,Chain
226,DOCKSIDE,1835 LINCOLN WAY E,SOUTH BEND,IN,46613,(574) 400-0848,Local
227,MURPHY USA #7430,620 W IRELAND RD,SOUTH BEND,IN,46614,(870) 875-7699,Local
228,"WINGS, ETC",2051 E IRELAND RD,SOUTH BEND,IN,46614-2908,(574) 291-0077,Local
229,NAVARRE AT THE WOODWARD,111 WOODWARD CT,SOUTH BEND,IN,46601,(574) 288-4420,Local
230,CHICO'S MEXICAN RESTAURANT,2418 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 237-9198,Local
231,PANERA BREAD,1290 E IRELAND RD BLDG,SOUTH BEND,IN,46614,(574) 231-4932,Chain
232,MC CORMICK'S,125 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 289-8031,Local
233,SAM'S FOOD MARKET,1336 LINCOLN WAY W,SOUTH BEND,IN,46628,(574) 289-8957,Local
234,DEW DROP INN,822 S LAFAYETTE BLVD,NA,NA,46618,(574) 289-9829,Local
235,IRENE'S MARKET,2712 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 237-1707,Local
236,SKINNY'S CONEY CONCESSIONS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 210-6058,Local
237,UNIVERSITY MARATHON SOUTH,111 E IRELAND RD,SOUTH BEND,IN,46614,(574) 291-3283,Local
238,EWING CAFE,111 W EWING AVE,SOUTH BEND,IN,46613,(574) 237-9404,Local
239,GABY'S ICE CREAM SHOP,1708 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 383-5034,Local
240,DAIRY QUEEN,4206 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 288-1100,Chain
241,SAINT PAUL BETHEL BAPTIST CHUR,621 LINDSEY ST,SOUTH BEND,IN,46616,(574) 288-6667,Local
242,TAIWAN HANLUNG INC / DBA CRE-A,1639 N IRONWOOD DR,SOUTH BEND,IN,46637,(574) 247-3000,Local
